Name,Price,Url,Img
Asrock H81M-VG4 R3.0 Super Alloy ATX Motherboard,"4,500৳",https://www.startech.com.bd/asrock-h81m-vg4-r3-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/h81m-vg4-r3/h81m-vg4-r3-228x228.jpg
ASUS EX-A320M AMD AM4 Socket Gaming Motherboard,"7,200৳",https://www.startech.com.bd/asus-ex-a320m-gaming-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/ex-a320m/ex-a320m-1-228x228.jpg
Asus H110M-CS 7th/6th Gen micro-ATX Motherboard,"5,500৳",https://www.startech.com.bd/asus-h110m-cs-micro-atx-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/h110m-cs/h110m-cs-1-228x228.jpg
ASUS PRIME B450M-A AMD mATX Motherboard,"9,100৳",https://www.startech.com.bd/asus-prime-b450m-a-amd-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/prime-b450m-a/prime-b450m-a-1-228x228.jpg
Esonic G31 DDR2 motherboard ,"2,400৳",https://www.startech.com.bd/esonic-g31-ddr2-motherboard ,https://www.startech.com.bd/image/cache/catalog/Component/motherboard/Esonic/g31-2-228x228.jpg
Asus Rog Strix RX570 OC edition 4GB GDDR5 Graphics Card,"24,000৳",https://www.startech.com.bd/asus-rog-strix-rx570-oc-4g-graphics-card,https://www.startech.com.bd/image/cache/catalog/Component/graphics card/asus/rx-570-oc-4g/asus-strix-570-oc-4g-228x228.jpg
Gigabyte GA-A320M-S2H AMD Micro ATX Motherboard,"5,300৳",https://www.startech.com.bd/gigabyte-ga-a320m-s2h-amd-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/ga-a320m-s2h/ga-a320m-s2h-1-228x228.jpg
Gigabyte GA-H110M-DS2 Micro ATX Motherboard,"5,300৳",https://www.startech.com.bd/gigabyte-ga-h110m-ds2-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/ga-h110m-ds2/ga-h110m-ds2-1-228x228.jpg
MSI B360M PRO-VDH 8th Gen DDR4 Motherboard ,"7,900৳",https://www.startech.com.bd/msi-b360m-pro-vdh-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/msi/b360m-pro-vdh/b360m-pro-vdh-228x228.jpg
MSI B360M PRO-VH DDR4 8th Gen Motherboard,"7,900৳",https://www.startech.com.bd/msi-b360m-pro-vh-mainboard,https://www.startech.com.bd/image/cache/catalog/motherboard/msi/msi-b360m-pro-vh/b360m-pro-vh copy-228x228.jpg
GALAX GeForce GT 1030 2GB DDR4 Graphics Card,"7,900৳",https://www.startech.com.bd/galax-geforce-gt-1030-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/galax-1030/galax-1030-228x228.png
XFX AMD Radeon RX 570 RS 8GB XXX Edition Graphics Card,"22,500৳",https://www.startech.com.bd/xfx-rx570-rs-8gb-xxx-edition-graphics-card,https://www.startech.com.bd/image/cache/catalog/component/graphics-card/xfx/rx-570/xfx-570-228x228.jpg
Galax Geforce Gtx 1050 Exoc 2GB DDR5 Graphics Card,"13,400৳",https://www.startech.com.bd/galax-gtx-1050-exoc-2gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/galax-1050-exoc/1050-exoc-228x228.jpg
Asus ROG Strix Radeon RX 590 8GB GDDR5 Graphics Card,"35,200৳",https://www.startech.com.bd/asus-rog-strix-radeon-rx590-8gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/rx590-strix/rx590-5-228x228.jpg
MSI H310M Gaming Arctic 8th Gen DDR4 Motherboard,"8,200৳",https://www.startech.com.bd/msi-h310m-gaming-arctic-mohterboard,https://www.startech.com.bd/image/cache/catalog/motherboard/msi/h310m-arctic/h310m-arctic-228x228.jpg
Redfox Intel Chipset G31 Motherboard,"2,500৳",https://www.startech.com.bd/redfox-intel-chipset-g31,https://www.startech.com.bd/image/cache/catalog/Motherboard/Intel/Board 2-228x228.jpg
ASRock A320M-HDV R4.0 AMD Motherboard,"5,500৳",https://www.startech.com.bd/asrock-a320m-hdv-r4.0-amd-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/a320m-hdv-r4/a320m-hdv-r4-228x228.jpg
ASUS H81M-P,"5,500৳",https://www.startech.com.bd/asus-h81m-p,https://www.startech.com.bd/image/cache/catalog/Motherboard/ASUS-H81M-P-228x228.jpg
GALAX GeForce® GTX 1050 Ti EXOC 4 GB DDR5 graphics Card,"15,800৳",https://www.startech.com.bd/galax-gtx-1050-ti-exoc-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/1050-ti-exoc-graphics-card/1050-ti-exoc-1-228x228.jpg
Gigabyte GTX 1050 Ti Windforce OC 4GB DDR5 Graphics Card,"18,000৳",https://www.startech.com.bd/gigabyte-gtx-1050-ti-windforce-oc-4g,https://www.startech.com.bd/image/cache/catalog/graphics/Gigabyte/Gigabyte GTX 1050 Ti Windforce OC 4G/GTX 1050 Ti Windforce OC 4G-1-228x228.jpg
Asus Turbo GeForce RTX 2060 6GB GDDR6 Graphics Card,"42,200৳",https://www.startech.com.bd/asus-turbo-rtx-2060-6g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/turbo-2060/turbo-2060-228x228.jpg
GALAX GeForce® GTX 1050 Ti EXOC White 4GB DDR5 Graphics Card,"15,800৳",https://www.startech.com.bd/galax-geforce-gtx-1050-ti-exoc-white-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/1050-ti-exoc-graphics-card/1050exoc-white-228x228.jpg
Asus ROG STRIX B450-I GAMING AMD Mini ITX Motherboard,"16,100৳",https://www.startech.com.bd/asus-rog-strix-b450-i-gaming-amd-mini-itx-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/rog-strix-b450-i-gaming/rog-strix-b450-i-gaming-1-228x228.jpg
Esonic G41 DDR3 Motherboard,"2,900৳",https://www.startech.com.bd/esonic-g41-ddr3-motherboard,https://www.startech.com.bd/image/cache/catalog/Component/motherboard/Esonic/Mother Board Esonic 41-228x228.jpg
Gigabyte GA-H110M-DS2V Motherboard,"5,300৳",https://www.startech.com.bd/gigabyte-ga-h110m-ds2v,https://www.startech.com.bd/image/cache/catalog/Motherboard/Gigabyte/Gigabyte GA-H110M-DS2V/Gigabyte GA-H110M-DS2V-228x228.png
Redfox Intel Chipset G41 DDR3 Motherboard,"3,000৳",https://www.startech.com.bd/redfox-intel-chipset-g41,https://www.startech.com.bd/image/cache/catalog/Motherboard/Intel/Board 2-228x228.jpg
Gigabyte Geforce GTX 1050 Ti G1 Gaming 4GB DDR5 Graphics Card,"18,800৳",https://www.startech.com.bd/gigabyte-geforce-gtx-1050-ti-g1-gaming-4g,https://www.startech.com.bd/image/cache/catalog/graphics/Gigabyte/Gigabyte GTX 1050 Ti G1 Gaming 4G-1-228x228.jpg
Asus Dual GeForce RTX 2060 OC edition 6GB GDDR6 Graphics Card,"46,900৳",https://www.startech.com.bd/asus-dualL-rtx-2060-o6g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/dual-rtx-2060-o6g/dual-rtx-2060-o6g-228x228.jpg
GALAX GeForce RTX 2070 EX (1-Click OC) 8GB GDDR6 Graphics Card,"52,500৳",https://www.startech.com.bd/galax-rtx-2070-ex-8gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/2070/galax-8gb-2070-228x228.jpg
Gigabyte GeForce RTX 2070 Gaming OC 8G GDDR6 Graphics Card,"57,000৳",https://www.startech.com.bd/gigabyte-geforce-rtx-2070-8g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/rtx-2070-gaming/rtx-2070-228x228.jpg
